text,label
i feel like a jerk because the library students who all claim to love scrabble cant be bothered to participate and clearly scrabble is an inappropriate choice for a group of students whose native language isnt english,anger
i miss all the others as well that feel that i wronged them and they will soon understand that i didnt,anger
i saunter through the airport terminals feeling that i have had an experience that renders the petty tribulations of everyday travel somehow far less significant,anger
i need to feel dangerous and pretty so here a striking dance pick deep in vogue minutes ago,anger
when,anger
this emotion has never been an intense one,anger
i feel anger when i see a parent beating and punishing his child in the street recently i was a withness of a similar case,anger
i feel a lot less hostile,anger
i know im going to disappoint you but ive decided not to volunteer this year because i fear ill end up feeling resentful,anger
i feel wronged by certain people and my instinct was to get angry at them and stop speaking to them but two wrongs dont make a right i think,anger
i have to put on a mask when i come into work i have to suppress all of the emptiness i feel inside the pain and loneliness the bitter and jaded woman that i really am,anger
i remember then feeling bitter that i couldnt pop the balloons and join in the celebrations,anger
i did in april and how i couldn t feel my feet until the run because the water was so cold,anger
i feel extremely irritable today and i am craving weird foods like green chile which is non existent here in fort collins in its purest form,anger
ive been feeling so cranky and why so many others around me are so cranky,anger
im emotionally drained my head is lowered although my body is not in the corner rocking back and forth thats how i feel what do you do when someone is too stubborn to love you,anger
i feel someone or something poses a threat to her and that i dont get angry with her,anger
i feel agitated and cant think of anything productive to do all i can really do is lay on my bed not getting a blink of sleep but think think think,anger
i credit i didn t feel agitated about all that stuff on my face and in my hair until a good two hours later which is longer than you re supposed to keep it up anyway i think,anger
i suppose i should feel stubborn about not letting summer go but im really pretty indifferent towards the whole school thing,anger
ive been feeling loggy and irritable for a couple weeks now which i am content to largely ascribe to the whole just moved and building a comfort zone part of my brain,anger
i know the signs elevated resting heart rate mood swings pain in the muscles and joints especially in the upper thigh muscles sudden loss of strength no desire for weights lifting decreased sleep times lose of muscle mass feeling irritable,anger
i knew that feeling and i felt disgusted at myself for feeling it,anger
i feel very pissed annoyed and depressed at the same time about a whole lot of stuff,anger
im becoming cynical in my old age my birthdays in two days and im feeling aggravated by circumstances,anger
im feeling stressed about this more than i should,anger
i feel heartless as i pass them by knowing that giving them money will only invite more trouble,anger
i am feeling stressed out i grab a book workout or take a walk and i feel better than ever but sometimes we need a little bit of a boost to get us going so today im going to talk to you about a product that i received from swaggable,anger
i hate feeling rushed its the one thing that totally throws me off and causes me to make mistakes,anger
i kind of feel heartless,anger
i feel distracted during those times,anger
i don t have to live like that anymore but i m also grateful for the memory because that memory is pretty much the first one that my mind flicks to when i m feeling aggravated at mankind as a whole and afraid of everything including my shadow,anger
i feel a bit of furious that time,anger
i had been feeling pretty pissed about this for the past few days pss i am gonna proof you wrong,anger
i feel disgusted when people judge others for the way they are dressed pray eat anything different than their lifestyle and they cast others evil and sinners,anger
i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,anger
i was feeling grumpy this morning both work and personal life were making me grumpy,anger
i dont sense that i am feeling enraged until i throw something but i am getting better at recognizing the signs,anger
i have a feeling words will be angered with me and this time it asnt my fault,anger
i wouldn t be getting long winded about this had it just been an isolated incident and i hate feeling so cranky over the idea that the arts are thriving to the point where a saturday matinee for the city ballet is so well sold at least in the upper sections,anger
i feel rushed and out of control,anger
