Quote,Emotion
"Even the darkest night will end, and the sun will rise.",sadness
"Sometimes, you have to get knocked down lower than you have ever been to stand up taller.",sadness
Sadness flies away on the wings of time.,sadness
"Tough times never last, but tough people do.",sadness
"When it rains, look for rainbows; when its dark, look for stars.",sadness
"Happiness is not by chance, but by choice.",joy
Every day is a new opportunity to shine and smile.,joy
Find joy in the journey and not just in the destination.,joy
Spread love wherever you go. Let no one ever come to you without leaving happier.,joy
Be yourself and let your joy shine like a bright light.,joy
"Love is not about how much you say I love you, but how much you prove it.",love
"Where there is love, there is life.",love
Love is a choice you make from moment to moment.,love
You are loved more than you know.,love
To love and be loved is to feel the sun from both sides.,love
"In the face of adversity, hold your head high and fight back.",anger
"Dont let anger control you; control your anger, and youll be victorious.",anger
"When anger rises, think of the consequences.",anger
"Anger doesnt solve anything; it builds nothing, but it can destroy everything.",anger
Calmness is the cradle of power.,anger
Fear is nothing more than an obstacle that stands in the way of progress.,fear
The only thing we have to fear is fear itself.,fear
Fear is temporary; regret is forever.,fear
"Do the thing you fear most, and the death of fear is certain.",fear
"Courage is not the absence of fear, but the triumph over it.",fear
Life has a way of surprising us with what we never knew we needed.,surprise
Youll never cease to amaze yourself if you keep pushing forward.,surprise
Sometimes life takes you in a direction you never expected.,surprise
Embrace the unexpected; life is full of pleasant surprises.,surprise
"Be open to surprises, for they bring new experiences and wisdom.",surprise
